mA limit_exp limit_obs GammaA_div_mA
220 0.700257 0.46051 0.03
240 1.0102 0.870364 0.03
260 0.837713 0.784399 0.03
280 0.73154 0.518732 0.03
300 0.546811 0.356487 0.03
320 0.434657 0.470146 0.03
340 0.339214 0.213565 0.03
360 0.285559 0.253855 0.03
380 0.219189 0.325786 0.03
400 0.180102 0.327018 0.03
420 0.148285 0.325107 0.03
440 0.123794 0.283791 0.03
460 0.105772 0.187628 0.03
480 0.0911213 0.127696 0.03
500 0.0820112 0.132892 0.03
550 0.0583516 0.0588849 0.03
600 0.0447189 0.022553 0.03
650 0.0340343 0.0203227 0.03
700 0.0270617 0.0162292 0.03
750 0.0235124 0.0139612 0.03
800 0.0189534 0.0101189 0.03
850 0.0165127 0.011142 0.03
900 0.0135661 0.0127447 0.03
950 0.0121804 0.0133322 0.03
1000 0.0101744 0.0104342 0.03
220 0.595215 0.358795 0.08
240 1.05135 0.629121 0.08
260 1.21092 0.766371 0.08
280 1.07864 0.609699 0.08
300 0.82978 0.478661 0.08
320 0.645926 0.50564 0.08
340 0.502366 0.334524 0.08
360 0.405326 0.380114 0.08
380 0.312204 0.48054 0.08
400 0.249601 0.501997 0.08
420 0.203767 0.477609 0.08
440 0.16788 0.39239 0.08
460 0.141497 0.276396 0.08
480 0.121179 0.198585 0.08
500 0.105787 0.159244 0.08
550 0.0734314 0.0619574 0.08
600 0.0537235 0.0271859 0.08
650 0.0407856 0.0220538 0.08
700 0.0319461 0.0184571 0.08
750 0.0273582 0.0153629 0.08
800 0.0216034 0.0120269 0.08
850 0.0187219 0.0126332 0.08
900 0.0152602 0.01337 0.08
950 0.0133291 0.0131756 0.08
1000 0.01102 0.0104747 0.08
220 0.574467 0.341193 0.1
240 0.936036 0.539017 0.1
260 1.18606 0.686564 0.1
280 1.13191 0.597636 0.1
300 0.909412 0.501286 0.1
320 0.714583 0.509672 0.1
340 0.559256 0.375177 0.1
360 0.447785 0.426829 0.1
380 0.345621 0.536475 0.1
400 0.273818 0.560037 0.1
420 0.222947 0.526019 0.1
440 0.182741 0.425515 0.1
460 0.153566 0.304718 0.1
480 0.131035 0.218793 0.1
500 0.113509 0.166295 0.1
550 0.0782608 0.0627571 0.1
600 0.0565278 0.0286317 0.1
650 0.0427643 0.0226169 0.1
700 0.0333399 0.0191344 0.1
750 0.0284855 0.0158911 0.1
800 0.0223516 0.0126672 0.1
850 0.0193435 0.0130981 0.1
900 0.0157094 0.0134878 0.1
950 0.0136461 0.0130756 0.1
1000 0.0112561 0.0104578 0.1
220 0.751771 0.527945 0.01
240 0.81693 0.82378 0.01
260 0.659495 0.690715 0.01
280 0.585648 0.444076 0.01
300 0.436007 0.296316 0.01
320 0.347853 0.433433 0.01
340 0.271207 0.165292 0.01
360 0.23183 0.201924 0.01
380 0.177054 0.257736 0.01
400 0.146671 0.245959 0.01
420 0.120676 0.248425 0.01
440 0.101137 0.223804 0.01
460 0.0871204 0.143441 0.01
480 0.0748402 0.0901429 0.01
500 0.0688778 0.116775 0.01
550 0.0496997 0.0560633 0.01
600 0.0394872 0.0199423 0.01
650 0.0297895 0.0192199 0.01
700 0.0240234 0.0148794 0.01
750 0.0212695 0.0133052 0.01
800 0.0172124 0.00905401 0.01
850 0.0151454 0.0103293 0.01
900 0.0124509 0.0121322 0.01
950 0.011459 0.0131503 0.01
1000 0.00967278 0.0103481 0.01
220 0.729506 0.496405 0.02
240 0.901947 0.853172 0.02
260 0.734139 0.736446 0.02
280 0.648634 0.478068 0.02
300 0.484489 0.323215 0.02
320 0.386888 0.452159 0.02
340 0.302311 0.186974 0.02
360 0.257148 0.225508 0.02
380 0.197144 0.290042 0.02
400 0.162951 0.284693 0.02
420 0.134354 0.286083 0.02
440 0.112528 0.254212 0.02
460 0.0966618 0.165585 0.02
480 0.0832495 0.109093 0.02
500 0.0757746 0.125459 0.02
550 0.0543393 0.0576342 0.02
600 0.0423321 0.0213549 0.02
650 0.0321333 0.0198428 0.02
700 0.0256975 0.0156142 0.02
750 0.0224847 0.0136572 0.02
800 0.0181949 0.00963627 0.02
850 0.0159051 0.0107813 0.02
900 0.0130741 0.0124717 0.02
950 0.0118564 0.0132577 0.02
1000 0.00994538 0.0104386 0.02
220 0.760899 0.543059 0.0
240 0.785126 0.807928 0.0
260 0.633012 0.672405 0.0
280 0.562673 0.431714 0.0
300 0.419288 0.286503 0.0
320 0.332438 0.42477 0.0
340 0.26044 0.158343 0.0
360 0.221399 0.192906 0.0
380 0.167886 0.243432 0.0
400 0.138881 0.22818 0.0
420 0.114772 0.232623 0.0
440 0.095771 0.20968 0.0
460 0.0823757 0.132303 0.0
480 0.0704188 0.0814106 0.0
500 0.0651389 0.111777 0.0
550 0.0470694 0.0548937 0.0
600 0.0377048 0.0191029 0.0
650 0.0281727 0.0187403 0.0
700 0.0228303 0.0143245 0.0
750 0.0203233 0.0130368 0.0
800 0.0163821 0.00858329 0.0
850 0.0145147 0.00995274 0.0
900 0.011914 0.0118245 0.0
950 0.0110765 0.0129652 0.0
1000 0.00941356 0.0102848 0.0
1100 0.00774439 0.00548329 0.0
1200 0.00691118 0.00779966 0.0
1300 0.00697831 0.00615908 0.0
1400 0.00627309 0.00487568 0.0
1500 0.00548749 0.00342878 0.0
1600 0.00479023 0.00244605 0.0
1700 0.00415909 0.00213393 0.0
1800 0.00384627 0.00217185 0.0
1900 0.00373901 0.0020672 0.0
2000 0.00352106 0.00186863 0.0
220 0.608773 0.37059 0.07
240 1.10543 0.685087 0.07
260 1.18675 0.801501 0.07
280 1.03095 0.607674 0.07
300 0.781643 0.462228 0.07
320 0.608252 0.500868 0.07
340 0.472409 0.312572 0.07
360 0.383293 0.355889 0.07
380 0.294932 0.451463 0.07
400 0.236919 0.470589 0.07
420 0.193683 0.450976 0.07
440 0.159971 0.373912 0.07
460 0.135066 0.260668 0.07
480 0.115861 0.186808 0.07
500 0.101592 0.154958 0.07
550 0.0707911 0.0615882 0.07
600 0.0521648 0.0263862 0.07
650 0.0396686 0.0217555 0.07
700 0.0311495 0.0180815 0.07
750 0.0267182 0.0150998 0.07
800 0.0211747 0.0116877 0.07
850 0.0183647 0.0123759 0.07
900 0.0149963 0.0132883 0.07
950 0.0131454 0.01329 0.07
1000 0.0108834 0.0104547 0.07
220 0.671167 0.42924 0.04
240 1.10167 0.856165 0.04
260 1.32132 0.819229 0.04
280 0.817939 0.554683 0.04
300 0.610889 0.388757 0.04
320 0.482073 0.482442 0.04
340 0.375304 0.240254 0.04
360 0.312344 0.281049 0.04
380 0.239807 0.359549 0.04
400 0.195768 0.366582 0.04
420 0.160838 0.360427 0.04
440 0.133861 0.309703 0.04
460 0.113875 0.207702 0.04
480 0.0980355 0.144501 0.04
500 0.0874401 0.139157 0.04
550 0.0618329 0.059756 0.04
600 0.0468082 0.0236223 0.04
650 0.0356603 0.020723 0.04
700 0.028247 0.0167609 0.04
750 0.024426 0.0142507 0.04
800 0.0196043 0.0105532 0.04
850 0.0170525 0.011486 0.04
900 0.0139931 0.0129395 0.04
950 0.0124632 0.0133158 0.04
1000 0.0103794 0.0104648 0.04
220 0.58397 0.349176 0.09
240 0.992763 0.580675 0.09
260 1.2086 0.726897 0.09
280 1.11238 0.605941 0.09
300 0.872674 0.491736 0.09
320 0.681476 0.506603 0.09
340 0.531351 0.355439 0.09
360 0.426827 0.40382 0.09
380 0.329104 0.508926 0.09
400 0.2619 0.531841 0.09
420 0.21352 0.50264 0.09
440 0.175468 0.409574 0.09
460 0.147663 0.2911 0.09
480 0.126229 0.209235 0.09
500 0.109756 0.163009 0.09
550 0.0759184 0.0623809 0.09
600 0.0551754 0.0279247 0.09
650 0.0418147 0.0223401 0.09
700 0.0326782 0.0188067 0.09
750 0.0279457 0.0156282 0.09
800 0.0219943 0.0123491 0.09
850 0.0190469 0.0128727 0.09
900 0.0154967 0.0134282 0.09
950 0.0134953 0.0131387 0.09
1000 0.0111438 0.0104664 0.09
220 0.64599 0.404683 0.05
240 1.14691 0.808551 0.05
260 1.05194 0.83446 0.05
280 0.898891 0.581626 0.05
300 0.67194 0.417102 0.05
320 0.526676 0.490949 0.05
340 0.40925 0.265613 0.05
360 0.337163 0.306943 0.05
380 0.258982 0.391272 0.05
400 0.210188 0.403174 0.05
420 0.172357 0.392649 0.05
440 0.143064 0.332848 0.05
460 0.121336 0.226385 0.05
480 0.104347 0.159844 0.05
500 0.0924659 0.144921 0.05
550 0.0650157 0.0604435 0.05
600 0.0486945 0.0245805 0.05
650 0.0371271 0.0210848 0.05
700 0.0293107 0.0172385 0.05
750 0.0252577 0.0145323 0.05
800 0.0201875 0.0109537 0.05
850 0.017536 0.0118051 0.05
900 0.0143687 0.0130871 0.05
950 0.0127157 0.0133016 0.05
1000 0.0105648 0.0104495 0.05
220 0.625404 0.385596 0.06
240 1.14311 0.746788 0.06
260 1.13319 0.825841 0.06
280 0.970524 0.599114 0.06
300 0.728908 0.441668 0.06
320 0.568565 0.496553 0.06
340 0.441452 0.289686 0.06
360 0.360651 0.331999 0.06
380 0.277242 0.421753 0.06
400 0.223817 0.437701 0.06
420 0.183239 0.422691 0.06
440 0.151718 0.354115 0.06
460 0.128357 0.243984 0.06
480 0.110261 0.173905 0.06
500 0.0971589 0.150182 0.06
550 0.0679896 0.0610516 0.06
600 0.0504915 0.0255199 0.06
650 0.0384534 0.0214419 0.06
700 0.030274 0.0176944 0.06
750 0.0260198 0.0148093 0.06
800 0.0207031 0.0113383 0.06
